Année,Mois,Ouverture,Haut,Bas,Clôture,Volume
2020,1,1520.4250,1611.5300,1518.5150,1583.8850,0
2020,2,1568.5500,1689.3600,1563.0100,1585.0600,0
2020,3,1582.2550,1666.9350,1575.4400,1666.5200,0
2020,8,2010.0300,2010.1800,1902.8900,1967.7000,0
2020,9,1967.9300,1992.4500,1848.5600,1888.3400,0
2020,10,1888.0000,1921.0000,1872.9800,1884.6000,0
2021,2,1830.5300,1855.4200,1717.3150,1739.2700,0
2021,3,1739.2650,1759.8250,1676.8100,1707.5900,0
2021,4,1707.5800,1797.9350,1705.8550,1768.4100,0
2021,5,1768.4100,1912.7800,1766.1350,1903.6900,0
2021,6,1913.5000,1916.5900,1750.8900,1768.3350,0
2021,7,1768.3400,1834.0800,1765.8500,1814.0600,0
2021,8,1814.8900,1831.8150,1664.4300,1814.6050,0
2021,9,1814.6000,1834.0600,1721.6750,1753.0900,0
2021,10,1753.0850,1813.8500,1745.9350,1780.0600,0
2021,11,1780.0650,1877.1500,1758.8650,1773.4350,0
2021,12,1773.4350,1830.3200,1753.1350,1829.3350,0
2022,1,1830.6650,1853.8750,1780.3450,1797.7800,0
2022,2,1797.7750,1974.6900,1788.6850,1906.2950,0
2022,3,1906.2850,2070.5100,1890.2100,1936.8150,0
2022,4,1936.8250,1998.3700,1872.3000,1896.8950,0
2022,5,1899.4850,1909.8950,1786.8150,1836.5300,0
2022,6,1836.5600,1879.1750,1802.7400,1806.5450,0
2022,7,1806.5650,1814.4050,1680.9150,1762.2450,0
2022,8,1762.2550,1807.9050,1707.8900,1709.0650,0
2022,9,1709.0600,1735.1900,1614.8800,1661.3600,0
2022,10,1664.3300,1729.5500,1619.2350,1632.5750,0
2022,11,1632.5650,1786.5100,1616.6900,1773.4200,0
2022,12,1773.4300,1833.4250,1765.9700,1823.5400,0
2023,1,1828.5950,1949.5850,1824.2550,1927.6150,0
2023,2,1927.6200,1959.7400,1804.7500,1825.6750,0
2023,3,1825.6650,2009.8550,1809.4500,1969.5000,0
2023,4,1966.4200,2048.6900,1949.8250,1986.9650,0
2023,5,1986.9700,2062.9200,1932.1400,1966.3900,0
2023,6,1966.3800,1983.4900,1893.0500,1919.4400,0
2023,7,1918.6600,1987.5200,1902.6900,1964.0200,0
2023,8,1964.0100,1964.7300,1884.8100,1939.8000,0
2023,9,1939.7900,1953.0200,1846.3600,1848.9200,0
2023,10,1847.6000,2009.4100,1810.5200,1983.7700,0
2023,11,1983.7600,2052.0600,1931.6800,2040.1900,0
2023,12,2040.1800,2145.7000,1973.1600,2062.9600,0
2024,1,2065.3200,2078.9400,2001.8900,2039.9900,0
2024,2,2040.0100,2065.4700,1984.3200,2044.3200,0
2024,3,2044.3100,2247.4300,2039.1300,2246.0800,0
2024,4,2246.1700,2431.5700,2228.6000,2291.3900,0
2024,5,2291.4000,2450.0800,2277.3800,2327.2600,0
2024,6,2328.7400,2387.7000,2286.7600,2325.0600,0
2024,7,2325.0500,2483.8100,2318.5500,2445.8400,0
2024,8,2445.8300,2531.7900,2364.2900,2503.1200,0
2024,9,2503.0500,2685.6400,2471.9400,2635.7300,0
2024,10,2635.7500,2790.1200,2602.9000,2746.7500,0
2024,11,2746.7600,2762.3000,2536.8900,2650.5000,0
2024,12,2652.5000,2726.2300,2583.4500,2624.3300,0
2025,1,2625.4500,2817.2000,2614.8400,2799.3700,0
2025,2,2801.1200,2942.7400,2772.2600,2916.6600,0
